"","poll.end.date","poll.source","liberal","national","coalition","alp","greens","palmer.united","family.first","democrats","pauline.hanson.one.nation","others","coalition.2pp","labor.2pp","satisfied.pm","dissatisfied.pm","satisfied.loto","dissatisfied.loto","prime.minister.ppm","opposition.leader..ppm.","prime.minister","opposition.leader"
"111",2013-08-04,"Newspoll",NA,NA,44,37,9,NA,NA,NA,NA,10,52,48,37,48,34,56,47,33,"MR KEVIN RUDD","MR TONY ABBOTT"
"112",2013-07-29,"Morgan Multi",39,2.5,41.5,38.5,10.5,NA,NA,NA,NA,9.5,48,52,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"113",2013-07-29,"Essential",41,3,44,39,9,NA,NA,NA,NA,8,51,49,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"114",2013-07-25,"Galaxy",NA,NA,44,40,9,NA,NA,NA,NA,7,50,50,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"115",2013-07-23,"Newspoll",NA,NA,45,37,10,NA,NA,NA,NA,8,52,48,42,41,35,56,50,34,"MR KEVIN RUDD","MR TONY ABBOTT"
"116",2013-07-23,"Essential",42,3,45,39,7,NA,NA,NA,NA,9,51,49,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"117",2013-07-23,"Morgan",38.5,2.5,41,41.5,9,NA,NA,NA,NA,8.5,47.5,52.5,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"118",2013-07-18,"ReachTEL",42,3.4,45.4,39.3,8.3,1.7,NA,NA,NA,5.3,51,49,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"119",2013-07-15,"Essential",42,2,46,39,7,NA,NA,NA,NA,8,52,48,50,35,39,51,50,35,"MR KEVIN RUDD","MR TONY ABBOTT"
"120",2013-07-15,"Morgan",38,3,41,42,7,NA,NA,NA,NA,10,47.5,52.5,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"121",2013-07-13,"Nielsen",NA,NA,44,39,9,NA,1,NA,NA,7,50,50,51,43,41,56,55,41,"MR KEVIN RUDD","MR TONY ABBOTT"
"122",2013-07-08,"Morgan Multi",36.5,3,39.5,41.5,8.5,NA,NA,NA,NA,10.5,45.5,54.5,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"123",2013-07-08,"Essential",42,4,46,38,8,NA,NA,NA,NA,7,52,48,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"124",2013-07-07,"Newspoll",NA,NA,42,38,9,NA,NA,NA,NA,11,50,50,43,36,35,56,53,31,"MR KEVIN RUDD","MR TONY ABBOTT"
"125",2013-07-01,"Morgan Multi",37,3.5,40.5,39.5,8.5,NA,NA,NA,NA,11.5,48.5,51.5,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"126",2013-06-30,"Newspoll",NA,NA,43,35,11,NA,NA,NA,NA,11,51,49,36,36,35,56,49,35,"MR KEVIN RUDD","MR TONY ABBOTT"
"127",2013-06-28,"Galaxy",NA,NA,44,38,10,NA,NA,NA,NA,8,51,49,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"128",2013-06-27,"ReachTEL",42.6,2.5,45.1,38.3,8.7,2,NA,NA,NA,5.8,52,48,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"129",2013-06-27,"PM Change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MR KEVIN RUDD","MR TONY ABBOTT"
"130",2013-06-26,"Morgan SMS",40.5,2.5,43,38,8.5,NA,NA,NA,NA,10.5,50.5,49.5,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"131",2013-06-23,"Newspoll",NA,NA,48,29,9,NA,NA,NA,NA,14,57,43,28,62,36,53,33,45,"MS JULIA GILLARD","MR TONY ABBOTT"
"132",2013-06-23,"Morgan",44,3,47,30.5,9,NA,NA,NA,NA,13.5,49.5,44.5,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"133",2013-06-18,"Essential",44,3,47,35,8,NA,NA,NA,NA,9,54,46,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"134",2013-06-17,"Morgan",42.5,2,44.5,33,9,NA,NA,NA,NA,13.5,53.5,46.5,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"135",2013-06-15,"Nielsen",NA,NA,47,29,11,NA,6,NA,NA,11,57,43,36,61,44,53,41,50,"MS JULIA GILLARD","MR TONY ABBOTT"
"136",2013-06-13,"Galaxy",NA,NA,47,32,11,NA,NA,NA,NA,10,55,45,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"137",2013-06-11,"Essential",44,3,47,36,8,NA,NA,NA,NA,9,54,46,37,54,40,49,39,40,"MS JULIA GILLARD","MR TONY ABBOTT"
"138",2013-06-10,"Morgan",43.5,2.5,46,31,9.5,NA,NA,NA,NA,13.5,56,44,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"139",2013-06-04,"Essential",45,3,48,35,8,NA,NA,NA,NA,9,55,45,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"140",2013-06-03,"Morgan",42.5,3,45.5,31.5,9.5,NA,NA,NA,NA,13.5,55,45,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"141",2013-06-02,"Newspoll",NA,NA,49,30,9,NA,NA,NA,NA,12,58,42,28,62,37,53,35,43,"MS JULIA GILLARD","MR TONY ABBOTT"
"142",2013-05-27,"Essential",45,3,48,34,8,NA,NA,NA,NA,10,55,45,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
"143",2013-05-26,"Morgan",42.5,3,45.5,33.5,9.5,NA,NA,NA,NA,11.5,54.5,45.5,NA,NA,NA,NA,NA,NA,"MS JULIA GILLARD","MR TONY ABBOTT"
